Potential applied (V),Time (s),WE(1).Current (A),WE(1).Potential (V),Scan,Index,Q+,Q-,Current range
0.3515625,2209.02428042275,0.000468719482421875,0.351593017578125,2,2112,0.09049470573663716,-0.08022628650069233,1 mA
0.35400390625,2209.2684214221335,0.000472015380859375,0.354034423828125,2,2113,0.09049470573663716,-0.08022628650069233,1 mA
0.3564453125,2209.512562421517,0.000475738525390625,0.356475830078125,2,2114,0.09049470573663716,-0.08022628650069233,1 mA
0.35888671875,2209.7567034209005,0.000478851318359375,0.358978271484375,2,2115,0.09049470573663716,-0.08022628650069233,1 mA
0.361328125,2210.000844420284,0.00048196411132812503,0.361358642578125,2,2116,0.09049470573663716,-0.08022628650069233,1 mA
0.36376953125,2210.244985419668,0.00048538208007812503,0.363861083984375,2,2117,0.09049470573663716,-0.08022628650069233,1 mA
0.3662109375,2210.4891264190514,0.00048870849609375,0.3662109375,2,2118,0.09049470573663716,-0.08022628650069233,1 mA
0.36865234375,2210.733267418435,0.00049224853515625,0.36871337890625,2,2119,0.09049470573663716,-0.08022628650069233,1 mA
0.37109375,2210.977408417819,0.00049530029296875,0.37109375,2,2120,0.09049470573663716,-0.08022628650069233,1 mA
0.37353515625,2211.2215494172024,0.0004983520507812501,0.37359619140625,2,2121,0.09049470573663716,-0.08022628650069233,1 mA
0.3759765625,2211.465690416586,0.0005023193359375,0.376007080078125,2,2122,0.09049470573663716,-0.08022628650069233,1 mA
0.37841796875,2211.7098314159693,0.00050537109375,0.378448486328125,2,2123,0.09049470573663716,-0.08022628650069233,1 mA
0.380859375,2211.953972415353,0.00050811767578125,0.380950927734375,2,2124,0.09049470573663716,-0.08022628650069233,1 mA
0.38330078125,2212.198113414737,0.000511474609375,0.383392333984375,2,2125,0.09049470573663716,-0.08022628650069233,1 mA
0.3857421875,2212.4422544141203,0.00051513671875,0.38580322265625,2,2126,0.09049470573663716,-0.08022628650069233,1 mA
0.38818359375,2212.6863954135038,0.0005181884765625,0.38818359375,2,2127,0.09049470573663716,-0.08022628650069233,1 mA
0.390625,2212.9305364128877,0.0005212402343750001,0.390655517578125,2,2128,0.09049470573663716,-0.08022628650069233,1 mA
0.39306640625,2213.174677412271,0.00052459716796875,0.39306640625,2,2129,0.09049470573663716,-0.08022628650069233,1 mA
0.3955078125,2213.4188184116547,0.0005279541015625,0.395538330078125,2,2130,0.09049470573663716,-0.08022628650069233,1 mA
0.39794921875,2213.662959411038,0.00053131103515625,0.39801025390625,2,2131,0.09049470573663716,-0.08022628650069233,1 mA
0.400390625,2213.9071004104217,0.0005340576171875,0.400390625,2,2132,0.09049470573663716,-0.08022628650069233,1 mA
0.40283203125,2214.1512414098056,0.0005377197265625,0.402862548828125,2,2133,0.09049470573663716,-0.08022628650069233,1 mA
0.4052734375,2214.395382409189,0.00054107666015625,0.40533447265625,2,2134,0.09049470573663716,-0.08022628650069233,1 mA
0.40771484375,2214.6395234085726,0.0005441284179687501,0.40777587890625,2,2135,0.09049470573663716,-0.08022628650069233,1 mA
0.41015625,2214.8836644079565,0.0005474853515625,0.410186767578125,2,2136,0.09049470573663716,-0.08022628650069233,1 mA
0.41259765625,2215.12780540734,0.00055084228515625,0.412628173828125,2,2137,0.09049470573663716,-0.08022628650069233,1 mA
0.4150390625,2215.3719464067235,0.00055419921875,0.4150390625,2,2138,0.09049470573663716,-0.08022628650069233,1 mA
0.41748046875,2215.616087406107,0.0005572509765625,0.417510986328125,2,2139,0.09049470573663716,-0.08022628650069233,1 mA
0.419921875,2215.8602284054905,0.000560302734375,0.41998291015625,2,2140,0.09049470573663716,-0.08022628650069233,1 mA
0.42236328125,2216.1043694048744,0.00056365966796875,0.42242431640625,2,2141,0.09049470573663716,-0.08022628650069233,1 mA
0.4248046875,2216.348510404258,0.00056732177734375,0.424835205078125,2,2142,0.09049470573663716,-0.08022628650069233,1 mA
0.42724609375,2216.5926514036414,0.00057037353515625,0.427276611328125,2,2143,0.09049470573663716,-0.08022628650069233,1 mA
0.4296875,2216.8367924030254,0.00057373046875,0.429718017578125,2,2144,0.09049470573663716,-0.08022628650069233,1 mA
0.43212890625,2217.080933402409,0.00057708740234375,0.43218994140625,2,2145,0.09049470573663716,-0.08022628650069233,1 mA
0.4345703125,2217.3250744017923,0.0005804443359375,0.4345703125,2,2146,0.09049470573663716,-0.08022628650069233,1 mA
0.43701171875,2217.569215401176,0.00058380126953125,0.43707275390625,2,2147,0.09049470573663716,-0.08022628650069233,1 mA
0.439453125,2217.8133564005593,0.00058685302734375,0.439483642578125,2,2148,0.09049470573663716,-0.08022628650069233,1 mA
0.44189453125,2218.0574973999433,0.00059051513671875,0.44189453125,2,2149,0.09049470573663716,-0.08022628650069233,1 mA
0.4443359375,2218.3016383993267,0.0005938720703125,0.4443359375,2,2150,0.09049470573663716,-0.08022628650069233,1 mA
0.44677734375,2218.5457793987102,0.00059722900390625,0.446807861328125,2,2151,0.09049470573663716,-0.08022628650069233,1 mA
0.44921875,2218.789920398094,0.0006005859375,0.449249267578125,2,2152,0.09049470573663716,-0.08022628650069233,1 mA
